72202 MFL Miami Observations at 18Z 26 Apr 2023
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1013.0      5   29.4   20.4     58  15.13    145      4  301.4  346.2  304.2
 1000.0    119   27.2   18.2     58  13.33    120      9  300.4  339.7  302.8
  998.0    137   27.0   18.2     58  13.33    125     10  300.4  339.7  302.8
  971.0    377   24.8   17.8     65  13.40    135     11  300.4  340.0  302.9
  932.0    737   21.4   17.3     77  13.51    185     10  300.6  340.4  303.0
  925.0    803   20.8   17.2     80  13.53    200      6  300.6  340.5  303.0
  919.0    859   20.4   16.9     80  13.36    203      6  300.7  340.1  303.1
  893.0   1107   18.6   15.6     83  12.64    215      8  301.3  338.8  303.6
  869.0   1341   17.2   13.3     78  11.16    226      9  302.2  335.5  304.3
  850.0   1530   15.6   12.2     80  10.61    235     10  302.5  334.2  304.4
  833.0   1702   14.4   11.8     84  10.54    252     10  303.0  334.5  304.9
  830.0   1732   14.2   11.5     84  10.38    255     10  303.1  334.2  305.0
  806.0   1980   12.6    9.2     80   9.14    267     10  303.9  331.5  305.6
  785.0   2201   10.6    9.0     90   9.26    278     10  304.1  332.0  305.8
  777.0   2287   10.2    8.1     87   8.79    282     10  304.5  331.2  306.1
  771.0   2351   10.4    5.9     74   7.61    285     11  305.4  328.7  306.8
  769.0   2373   10.0    6.3     78   7.84    286     11  305.2  329.1  306.7
  765.0   2417    9.8    5.5     75   7.46    289     11  305.5  328.2  306.8
  756.0   2515    9.8    2.8     62   6.23    293     11  306.5  325.8  307.6
  742.0   2670    9.0    1.0     57   5.58    301     11  307.3  324.6  308.3
  730.0   2805    9.2   -9.8     25   2.50    308     11  308.9  317.1  309.4
  727.0   2840    9.4   -5.6     34   3.48    309     11  309.5  320.7  310.1
  726.0   2851    9.3   -6.7     32   3.20    310     11  309.5  319.9  310.1
  725.0   2862    9.2   -7.8     29   2.95    308     11  309.5  319.1  310.1
  718.0   2943    8.8  -11.2     23   2.27    294     10  309.9  317.5  310.4
  711.0   3023    8.2  -11.8     23   2.19    280     10  310.1  317.4  310.5
  700.0   3152    7.2  -12.8     23   2.05    280     11  310.4  317.2  310.8
  676.0   3437    5.4  -19.6     15   1.20    285     14  311.5  315.7  311.8
  675.0   3449    5.3  -19.4     15   1.23    285     14  311.5  315.8  311.8
  655.0   3693    3.0  -15.3     25   1.79    265     13  311.6  317.7  312.0
  648.0   3780    2.2  -13.8     30   2.04    269     14  311.7  318.5  312.1
  642.0   3855    2.0  -19.0     19   1.33    273     14  312.3  316.9  312.5
  618.0   4160   -0.5  -15.5     31   1.86    289     17  312.8  319.1  313.2
  604.0   4343   -1.5  -24.5     15   0.88    298     19  313.7  316.8  313.9
  597.0   4435   -2.1  -21.1     22   1.20    302     20  314.1  318.3  314.3
  586.0   4582   -3.4  -19.9     27   1.35    310     21  314.3  318.9  314.5
  575.0   4731   -4.7  -18.7     33   1.53    310     23  314.4  319.7  314.7
  566.0   4855   -5.9  -14.9     49   2.14    310     24  314.4  321.6  314.9
  520.0   5511  -11.5  -16.5     66   2.04    310     33  315.4  322.3  315.8
  511.0   5644  -12.3  -16.6     70   2.05    310     35  316.0  323.0  316.4
  507.0   5704  -12.5  -20.5     51   1.48    310     35  316.5  321.6  316.8
  506.0   5719  -12.7  -20.7     51   1.46    310     36  316.4  321.5  316.7
  504.0   5749  -13.0  -20.6     53   1.48    310     36  316.4  321.5  316.7
  501.0   5795  -13.5  -20.5     56   1.50    306     37  316.3  321.5  316.6
  500.0   5810  -13.5  -21.5     51   1.38    305     38  316.5  321.3  316.8
  498.0   5841  -13.5  -22.5     47   1.27    303     39  316.9  321.3  317.1
  487.0   6011  -13.9  -17.9     72   1.93    295     45  318.4  325.1  318.8
  484.0   6058  -13.7  -19.7     61   1.67    292     47  319.2  325.0  319.6
  481.0   6105  -13.7  -21.5     52   1.43    290     49  319.8  324.8  320.1
  479.0   6137  -13.7  -22.7     47   1.30    290     49  320.2  324.8  320.4
  475.0   6201  -14.1  -24.1     43   1.15    289     49  320.4  324.6  320.7
  471.0   6265  -13.7  -41.7      7   0.21    288     49  321.7  322.6  321.8
  469.0   6298  -13.7  -35.7     14   0.39    288     49  322.1  323.6  322.2
  462.0   6412  -13.9  -48.9      3   0.10    287     48  323.2  323.6  323.3
  424.0   7054  -19.1  -50.6      4   0.09    280     47  324.6  324.9  324.6
  400.0   7490  -22.7  -51.7      5   0.08    285     51  325.4  325.7  325.4
  398.0   7527  -22.9  -51.9      5   0.08    285     52  325.6  325.9  325.6
  396.0   7563  -22.9  -37.9     24   0.37    286     52  326.1  327.5  326.1
  392.0   7638  -23.5  -35.5     32   0.48    286     53  326.2  328.1  326.3
  385.0   7769  -24.7  -37.7     29   0.39    287     56  326.4  327.9  326.4
  382.0   7825  -24.9  -52.9      6   0.07    288     57  326.8  327.1  326.8
  380.0   7863  -25.3  -42.3     19   0.24    288     57  326.8  327.8  326.8
  375.0   7959  -26.1  -58.1      3   0.04    289     59  327.0  327.1  327.0
  365.0   8153  -27.8  -53.1      7   0.08    290     62  327.3  327.6  327.3
  357.0   8312  -29.1  -49.1     13   0.12    286     63  327.6  328.1  327.6
  355.0   8352  -29.3  -42.3     27   0.26    285     63  327.8  328.9  327.9
  353.0   8392  -29.7  -41.7     30   0.28    284     63  327.8  328.9  327.9
  351.0   8432  -29.9  -39.9     37   0.34    283     63  328.1  329.4  328.1
  350.0   8452  -30.1  -41.1     33   0.30    282     64  328.1  329.3  328.1
  346.0   8534  -30.6  -40.0     39   0.34    280     64  328.5  329.8  328.6
  345.0   8554  -30.7  -39.7     41   0.35    280     64  328.6  330.0  328.7
  344.0   8575  -30.9  -36.9     56   0.47    279     64  328.6  330.4  328.7
  342.0   8616  -31.3  -38.3     50   0.41    279     63  328.6  330.2  328.7
  340.0   8658  -31.7  -36.4     63   0.50    278     63  328.6  330.6  328.7
  328.0   8910  -33.5  -35.3     84   0.58    275     61  329.5  331.8  329.6
  327.0   8931  -33.7  -35.6     83   0.57    275     61  329.6  331.7  329.7
  326.0   8953  -33.9  -35.9     82   0.55    275     62  329.6  331.7  329.7
  324.0   8996  -33.9  -37.3     71   0.48    274     63  330.1  332.0  330.2
  319.0   9104  -34.5  -38.0     70   0.46    274     66  330.8  332.6  330.9
  317.0   9148  -34.5  -38.0     70   0.46    273     68  331.4  333.2  331.5
  300.0   9530  -37.3  -39.9     77   0.40    270     80  332.7  334.3  332.8
  293.0   9693  -38.7  -40.6     82   0.38    266     83  332.9  334.4  333.0
  286.0   9859  -39.3  -42.2     74   0.33    262     85  334.4  335.7  334.5
  282.0   9955  -40.1  -42.7     76   0.32    260     87  334.6  335.9  334.7
  276.0  10102  -41.3  -43.4     80   0.30    262     89  334.9  336.1  335.0
  274.0  10152  -41.3  -44.3     73   0.27    262     90  335.6  336.7  335.7
  263.0  10429  -43.3  -46.0     75   0.24    266     93  336.6  337.6  336.7
  260.0  10506  -43.7  -47.0     70   0.21    267     94  337.2  338.1  337.2
  259.0  10532  -43.7  -48.1     62   0.19    267     95  337.5  338.3  337.6
  257.0  10585  -43.5  -50.5     46   0.15    268     95  338.6  339.2  338.6
  250.0  10770  -44.9  -50.9     51   0.14    270     98  339.2  339.8  339.2
  240.0  11042  -47.1  -52.0     57   0.13    272    106  339.9  340.4  339.9
  237.0  11126  -47.5  -54.5     44   0.10    273    108  340.5  340.9  340.5
  233.0  11238  -48.3  -54.3     50   0.10    274    111  340.9  341.4  340.9
  224.0  11497  -50.1  -57.1     43   0.08    276    118  342.0  342.4  342.0
  221.0  11585  -50.7  -60.7     30   0.05    277    121  342.4  342.6  342.4
  207.0  12009  -53.8  -60.5     43   0.05    280    133  344.0  344.2  344.0
  204.0  12103  -54.5  -60.5     47   0.05    280    132  344.4  344.6  344.4
  200.0  12230  -55.7  -62.7     41   0.04    280    130  344.4  344.6  344.4
  195.0  12390  -57.1  -62.1     53   0.05    280    130  344.7  344.9  344.7
  186.0  12686  -59.7  -64.7     52   0.03    280    130  345.1  345.3  345.2
  182.0  12821  -60.7  -70.7     26   0.02    280    129  345.7  345.8  345.7
  173.0  13134  -63.7  -69.7     44   0.02    280    129  345.8  345.9  345.8
  169.0  13276  -64.9  -69.9     50   0.02    280    129  346.1  346.2  346.1
